# t;Date;Time;No.;ML;Temp.;PAR;F;Fm;Y(II);ETR
8253;21.04.2021;18:55:46;Spi_A_1;4;0;0;0.172;0;0.493;
8283;21.04.2021;18:56:16;Spi_B_1;4;0;0;0.182;0;0.532;
8306;21.04.2021;18:56:39;Spi_C_1;4;0;0;0.14;0;0.379;
8324;21.04.2021;18:56:57;Spi_D_1;4;0;0;0.217;0;0.682;
8359;21.04.2021;18:57:32;Spi_E_1;4;0;0;0.218;0;0.669;
8378;21.04.2021;18:57:51;Spi_F_1;4;0;0;0.176;0;0.493;
8401;21.04.2021;18:58:14;Pve_A_1;4;0;0;0.278;0;0.993;
8425;21.04.2021;18:58:38;Pve_B_1;4;0;0;0.142;0;0.534;
8446;21.04.2021;18:58:59;Pve_C_1;4;0;0;0.12;0;0.439;
8463;21.04.2021;18:59:16;Pve_D_1;4;0;0;0.226;0;0.674;
8484;21.04.2021;18:59:37;Pve_E_1;4;0;0;0.204;0;0.583;
8502;21.04.2021;18:59:55;Pve_F_1;4;0;0;0.193;0;0.518;
8535;21.04.2021;19:00:28;Spi_A_2;4;0;0;0.149;0;0.393;
8554;21.04.2021;19:00:47;Spi_B_2;4;0;0;0.197;0;0.65;
8570;21.04.2021;19:01:03;Spi_C_2;4;0;0;0.205;0;0.534;
8609;21.04.2021;19:01:42;Spi_D_2;4;0;0;0.254;0;0.592;
8631;21.04.2021;19:02:04;Spi_E_2;4;0;0;0.198;0;0.595;
8655;21.04.2021;19:02:28;Spi_F_2;4;0;0;0.207;0;0.538;
8675;21.04.2021;19:02:48;Pve_A_2;4;0;0;0.162;0;0.576;
8692;21.04.2021;19:03:05;Pve_B_2;4;0;0;0.198;0;0.773;
8718;21.04.2021;19:03:31;Pve_C_2;4;0;0;0.221;0;0.793;
8748;21.04.2021;19:04:01;Pve_D_2;4;0;0;0.212;0;0.656;
8769;21.04.2021;19:04:22;Pve_E_2;4;0;0;0.233;0;0.824;
8792;21.04.2021;19:04:45;Pve_F_2;4;0;0;0.167;0;0.483;
8813;21.04.2021;19:05:06;Spi_A_3;4;0;0;0.307;0;0.846;
8836;21.04.2021;19:05:29;Spi_B_3;4;0;0;0.233;0;0.707;
8855;21.04.2021;19:05:48;Spi_C_3;4;0;0;0.189;0;0.519;
8881;21.04.2021;19:06:14;Spi_D_3;4;0;0;0.166;0;0.433;
8904;21.04.2021;19:06:37;Spi_E_3;4;0;0;0.216;0;0.622;
8922;21.04.2021;19:06:55;Spi_F_3;4;0;0;0.198;0;0.605;
8945;21.04.2021;19:07:18;Pve_A_3;4;0;0;0.279;0;1.079;
8968;21.04.2021;19:07:41;Pve_B_3;4;0;0;0.11;0;0.373;
8984;21.04.2021;19:07:57;Pve_C_3;4;0;0;0.227;0;0.68;
9005;21.04.2021;19:08:18;Pve_D_3;4;0;0;0.214;0;0.666;
9032;21.04.2021;19:08:45;Pve_E_3;4;0;0;0.392;0;1.047;
9050;21.04.2021;19:09:03;Pve_F_3;4;0;0;0.153;0;0.434;
9073;21.04.2021;19:09:26;Spi_A_4;4;0;0;0.139;0;0.364;
9119;21.04.2021;19:10:12;Spi_B_4;4;0;0;0.215;0;0.852;
9158;21.04.2021;19:10:51;Spi_C_4;4;0;0;0.168;0;0.597;
9179;21.04.2021;19:11:12;Spi_D_4;4;0;0;0.295;0;0.65;
9198;21.04.2021;19:11:31;Spi_E_4;4;0;0;0.149;0;0.474;
9222;21.04.2021;19:11:55;Spi_F_4;4;0;0;0.201;0;0.642;
9248;21.04.2021;19:12:21;Pve_A_4;4;0;0;0.174;0;0.656;
9273;21.04.2021;19:12:46;Pve_B_4;4;0;0;0.162;0;0.609;
9296;21.04.2021;19:13:09;Pve_C_4;4;0;0;0.2;0;0.635;
9320;21.04.2021;19:13:33;Pve_D_4;4;0;0;0.199;0;0.589;
9348;21.04.2021;19:14:01;Pve_E_4;4;0;0;0.194;0;0.76;
9372;21.04.2021;19:14:25;Pve_F_4;4;0;0;0.138;0;0.436;
9387;21.04.2021;19:14:40;Spi_B_5;4;0;0;0.238;0;0.746;
9478;21.04.2021;19:16:11;Spi_C_5;4;0;0;0.233;0;0.739;
9507;21.04.2021;19:16:40;Spi_A_5;4;0;0;0.219;0;0.598;
9537;21.04.2021;19:17:10;Spi_D_5;4;0;0;0.325;0;0.964;
9573;21.04.2021;19:17:46;Spi_E_5;4;0;0;0.144;0;0.433;
9591;21.04.2021;19:18:04;Spi_F_5;4;0;0;0.151;0;0.484;
9625;21.04.2021;19:18:38;Pve_A_5;4;0;0;0.194;0;0.719;
9648;21.04.2021;19:19:01;Pve_B_5;4;0;0;0.314;0;1.167;
9678;21.04.2021;19:19:31;Pve_C_5;4;0;0;0.223;0;0.888;
9720;21.04.2021;19:20:13;Pve_D_5;4;0;0;0.162;0;0.476;
9739;21.04.2021;19:20:32;Pve_E_5;4;0;0;0.173;0;0.623;
9767;21.04.2021;19:21:00;Pve_F_5;4;0;0;0.124;0;0.345;
3828365281;23.04.2021;18:48:01;Spi_A_11;4;0;0;0.195;0;0.564;
3828365296;23.04.2021;18:48:16;Spi_B_11;4;0;0;0.332;0;1.084;
3828365311;23.04.2021;18:48:31;Spi_C_11;4;0;0;0.24;0;0.619;
3828365327;23.04.2021;18:48:47;Spi_D_11;4;0;0;0.168;0;0.394;
3828365341;23.04.2021;18:49:01;Spi_E_11;4;0;0;0.183;0;0.543;
3828365355;23.04.2021;18:49:15;Spi_F_11;4;0;0;0.151;0;0.45;
3828365372;23.04.2021;18:49:32;Pve_A_11;4;0;0;0.155;0;0.493;
3828365388;23.04.2021;18:49:48;Pve_B_11;4;0;0;0.118;0;0.422;
3828365403;23.04.2021;18:50:03;Pve_C_11;4;0;0;0.175;0;0.664;
3828365418;23.04.2021;18:50:18;Pve_D_11;4;0;0;0.081;0;0.236;
3828365435;23.04.2021;18:50:35;Pve_E_11;4;0;0;0.109;0;0.301;
3828365450;23.04.2021;18:50:50;Pve_F_11;4;0;0;0.185;0;0.513;
3828365469;23.04.2021;18:51:09;Spi_A_12;4;0;0;0.285;0;0.772;
3828365491;23.04.2021;18:51:31;Spi_B_12;4;0;0;0.085;0;0.217;
3828365505;23.04.2021;18:51:45;Spi_C_12;4;0;0;0.26;0;0.847;
3828365519;23.04.2021;18:51:59;Spi_D_12;4;0;0;0.224;0;0.679;
3828365535;23.04.2021;18:52:15;Spi_E_12;4;0;0;0.208;0;0.605;
3828365556;23.04.2021;18:52:36;Spi_F_12;4;0;0;0.156;0;0.416;
3828365573;23.04.2021;18:52:53;Pve_A_12;4;0;0;0.221;0;0.736;
3828365591;23.04.2021;18:53:11;Pve_B_12;4;0;0;0.37;0;1.381;
3828365608;23.04.2021;18:53:28;Pve_C_12;4;0;0;0.294;0;0.982;
3828365623;23.04.2021;18:53:43;Pve_D_12;4;0;0;0.071;0;0.189;
3828365640;23.04.2021;18:54:00;Pve_E_12;4;0;0;0.169;0;0.488;
3828365655;23.04.2021;18:54:15;Pve_F_12;4;0;0;0.227;0;0.58;
3828365678;23.04.2021;18:54:38;Spi_A_13;4;0;0;0.168;0;0.455;
3828365697;23.04.2021;18:54:57;Spi_B_13;4;0;0;0.243;0;0.712;
3828365714;23.04.2021;18:55:14;Spi_C_13;4;0;0;0.18;0;0.525;
3828365730;23.04.2021;18:55:30;Spi_D_13;4;0;0;0.17;0;0.475;
3828365755;23.04.2021;18:55:55;Spi_E_13;4;0;0;0.238;0;0.75;
3828365769;23.04.2021;18:56:09;Spi_F_13;4;0;0;0.171;0;0.462;
3828365790;23.04.2021;18:56:30;Pve_A_13;4;0;0;0.159;0;0.57;
3828365803;23.04.2021;18:56:43;Pve_B_13;4;0;0;0.206;0;0.755;
3828365818;23.04.2021;18:56:58;Pve_C_13;4;0;0;0.283;0;0.982;
3828365840;23.04.2021;18:57:20;Pve_D_13;4;0;0;0.136;0;0.391;
3828365855;23.04.2021;18:57:35;Pve_E_13;4;0;0;0.168;0;0.598;
3828365872;23.04.2021;18:57:52;Pve_F_13;4;0;0;0.207;0;0.558;
3828365890;23.04.2021;18:58:10;Spi_A_14;4;0;0;0.205;0;0.575;
3828365906;23.04.2021;18:58:26;Spi_B_14;4;0;0;0.263;0;0.79;
3828365926;23.04.2021;18:58:46;Spi_C_14;4;0;0;0.114;0;0.353;
3828365943;23.04.2021;18:59:03;Spi_D_14;4;0;0;0.223;0;0.539;
3828365961;23.04.2021;18:59:21;Spi_E_14;4;0;0;0.28;0;0.856;
3828365978;23.04.2021;18:59:38;Spi_F_14;4;0;0;0.194;0;0.597;
3828366001;23.04.2021;19:00:01;Pve_A_14;4;0;0;0.174;0;0.621;
3828366015;23.04.2021;19:00:15;Pve_B_14;4;0;0;0.205;0;0.722;
3828366030;23.04.2021;19:00:30;Pve_C_14;4;0;0;0.229;0;0.892;
3828366048;23.04.2021;19:00:48;Pve_D_14;4;0;0;0.176;0;0.523;
3828366073;23.04.2021;19:01:13;Pve_E_14;4;0;0;0.197;0;0.692;
3828366087;23.04.2021;19:01:27;Pve_F_14;4;0;0;0.17;0;0.461;
3828366107;23.04.2021;19:01:47;Spi_A_15;4;0;0;0.103;0;0.256;
3828366122;23.04.2021;19:02:02;Spi_B_15;4;0;0;0.257;0;0.805;
3828366139;23.04.2021;19:02:19;Spi_C_15;4;0;0;0.201;0;0.519;
3828366160;23.04.2021;19:02:40;Spi_D_15;4;0;0;0.205;0;0.512;
3828366180;23.04.2021;19:03:00;Spi_E_15;4;0;0;0.2;0;0.613;
3828366204;23.04.2021;19:03:24;Spi_F_15;4;0;0;0.149;0;0.384;
3828366226;23.04.2021;19:03:46;Pve_A_15;4;0;0;0.234;0;0.747;
3828366249;23.04.2021;19:04:09;Pve_B_15;4;0;0;0.153;0;0.567;
3828366267;23.04.2021;19:04:27;Pve_C_15;4;0;0;0.167;0;0.646;
3828366286;23.04.2021;19:04:46;Pve_D_15;4;0;0;0.135;0;0.375;
3828366306;23.04.2021;19:05:06;Pve_E_15;4;0;0;0.163;0;0.601;
3828366320;23.04.2021;19:05:20;Pve_F_15;4;0;0;0.169;0;0.431;
3828279003;22.04.2021;18:50:03;Spi_A_6;4;0;0;0.177;0;0.464;
3828279024;22.04.2021;18:50:24;Spi_B_6;4;0;0;0.18;0;0.595;
3828279037;22.04.2021;18:50:37;Spi_C_6;4;0;0;0.176;0;0.56;
3828279051;22.04.2021;18:50:51;Spi_D_6;4;0;0;0.192;0;0.577;
3828279067;22.04.2021;18:51:07;Spi_E_6;4;0;0;0.122;0;0.291;
3828279084;22.04.2021;18:51:24;Spi_F_6;4;0;0;0.11;0;0.31;
3828279099;22.04.2021;18:51:39;Pve_A_6;4;0;0;0.225;0;0.746;
3828279113;22.04.2021;18:51:53;Pve_B_6;4;0;0;0.261;0;0.971;
3828279129;22.04.2021;18:52:09;Pve_C_6;4;0;0;0.252;0;0.947;
3828279145;22.04.2021;18:52:25;Pve_D_6;4;0;0;0.165;0;0.455;
3828279165;22.04.2021;18:52:45;Pve_E_6;4;0;0;0.07;0;0.21;
3828279179;22.04.2021;18:52:59;Pve_F_6;4;0;0;0.148;0;0.375;
3828279196;22.04.2021;18:53:16;Spi_A_7;4;0;0;0.146;0;0.504;
3828279212;22.04.2021;18:53:32;Spi_B_7;4;0;0;0.166;0;0.446;
3828279227;22.04.2021;18:53:47;Spi_C_7;4;0;0;0.224;0;0.795;
3828279252;22.04.2021;18:54:12;Spi_D_7;4;0;0;0.324;0;0.963;
3828279273;22.04.2021;18:54:33;Spi_E_7;4;0;0;0.196;0;0.587;
3828279289;22.04.2021;18:54:49;Spi_F_7;4;0;0;0.212;0;0.589;
3828279311;22.04.2021;18:55:11;Pve_A_7;4;0;0;0.187;0;0.7;
3828279329;22.04.2021;18:55:29;Pve_B_7;4;0;0;0.086;0;0.283;
3828279347;22.04.2021;18:55:47;Pve_C_7;4;0;0;0.223;0;0.758;
3828279365;22.04.2021;18:56:05;Pve_D_7;4;0;0;0.227;0;0.627;
3828279382;22.04.2021;18:56:22;Pve_E_7;4;0;0;0.105;0;0.354;
3828279398;22.04.2021;18:56:38;Pve_F_7;4;0;0;0.193;0;0.502;
3828279419;22.04.2021;18:56:59;Spi_A_8;4;0;0;0.147;0;0.376;
3828279435;22.04.2021;18:57:15;Spi_B_8;4;0;0;0.271;0;0.864;
3828279449;22.04.2021;18:57:29;Spi_C_8;4;0;0;0.229;0;0.737;
3828279465;22.04.2021;18:57:45;Spi_D_8;4;0;0;0.183;0;0.431;
3828279482;22.04.2021;18:58:02;Spi_E_8;4;0;0;0.143;0;0.443;
3828279498;22.04.2021;18:58:18;Spi_F_8;4;0;0;0.131;0;0.38;
3828279514;22.04.2021;18:58:34;Pve_A_8;4;0;0;0.206;0;0.714;
3828279531;22.04.2021;18:58:51;Pve_B_8;4;0;0;0.211;0;0.8;
3828279545;22.04.2021;18:59:05;Pve_C_8;4;0;0;0.278;0;1.037;
3828279561;22.04.2021;18:59:21;Pve_D_8;4;0;0;0.215;0;0.621;
3828279583;22.04.2021;18:59:43;Pve_E_8;4;0;0;0.117;0;0.415;
3828279603;22.04.2021;19:00:03;Pve_F_8;4;0;0;0.103;0;0.261;
3828279625;22.04.2021;19:00:25;Spi_A_9;4;0;0;0.105;0;0.282;
3828279640;22.04.2021;19:00:40;Spi_B_9;4;0;0;0.219;0;0.741;
3828279662;22.04.2021;19:01:02;Spi_C_9;4;0;0;0.26;0;0.819;
3828279678;22.04.2021;19:01:18;Spi_D_9;4;0;0;0.154;0;0.469;
3828279695;22.04.2021;19:01:35;Spi_E_9;4;0;0;0.212;0;0.6;
3828279711;22.04.2021;19:01:51;Spi_F_9;4;0;0;0.183;0;0.585;
3828279733;22.04.2021;19:02:13;Pve_A_9;4;0;0;0.253;0;0.88;
3828279751;22.04.2021;19:02:31;Pve_B_9;4;0;0;0.189;0;0.62;
3828279771;22.04.2021;19:02:51;Pve_C_9;4;0;0;0.241;0;0.769;
3828279788;22.04.2021;19:03:08;Pve_D_9;4;0;0;0.235;0;0.66;
3828279807;22.04.2021;19:03:27;Pve_E_9;4;0;0;0.218;0;0.824;
3828279829;22.04.2021;19:03:49;Pve_F_9;4;0;0;0.168;0;0.472;
3828279846;22.04.2021;19:04:06;Spi_A_10;4;0;0;0.204;0;0.546;
3828279877;22.04.2021;19:04:37;Spi_B_10;4;0;0;0.227;0;0.789;
3828279895;22.04.2021;19:04:55;Spi_C_10;4;0;0;0.289;0;0.84;
3828279914;22.04.2021;19:05:14;Spi_D_10;4;0;0;0.273;0;0.658;
3828279939;22.04.2021;19:05:39;Spi_E_10;4;0;0;0.212;0;0.677;
3828279959;22.04.2021;19:05:59;Spi_F_10;4;0;0;0.255;0;0.779;
3828279977;22.04.2021;19:06:17;Pve_A_10;4;0;0;0.125;0;0.443;
3828279993;22.04.2021;19:06:33;Pve_B_10;4;0;0;0.179;0;0.59;
3828280012;22.04.2021;19:06:52;Pve_C_10;4;0;0;0.134;0;0.474;
3828280028;22.04.2021;19:07:08;Pve_D_10;4;0;0;0.149;0;0.426;
3828280046;22.04.2021;19:07:26;Pve_E_10;4;0;0;0.179;0;0.666;
3828280062;22.04.2021;19:07:42;Pve_F_10;4;0;0;0.127;0;0.317;
