coral;col;tank;origin;time;PA_t0;PA_t1;PA_t2;PA_t3
Pve_A_1;Pve_A;1;indo;11;ma;a;a;ma
Pve_A_1;Pve_A;1;indo;2;a;ma;a;a
Pve_A_1;Pve_A;1;indo;5;a;a;a;a
Pve_B_1;Pve_B;1;indo;11;ma;ma;ma;ma
Pve_B_1;Pve_B;1;indo;2;a;ma;a;ma
Pve_B_1;Pve_B;1;indo;5;ia;a;a;ia
Pve_C_1;Pve_C;1;indo;11;a;a;a;ma
Pve_C_1;Pve_C;1;indo;2;a;ma;a;a
Pve_C_1;Pve_C;1;indo;5;a;a;a;a
Pve_D_1;Pve_D;1;redsea;11;a;a;a;ma
Pve_D_1;Pve_D;1;redsea;2;a;a;a;a
Pve_D_1;Pve_D;1;redsea;5;a;a;a;a
Pve_E_1;Pve_E;1;redsea;11;a;a;ma;ia
Pve_E_1;Pve_E;1;redsea;2;a;a;a;ia
Pve_E_1;Pve_E;1;redsea;5;a;a;a;ia
Pve_F_1;Pve_F;1;redsea;11;a;a;a;a
Pve_F_1;Pve_F;1;redsea;2;a;ma;a;a
Pve_F_1;Pve_F;1;redsea;5;a;a;a;a
Pve_A_6;Pve_A;6;indo;11;ia;a;a;a
Pve_A_6;Pve_A;6;indo;2;ma;a;a;a
Pve_A_6;Pve_A;6;indo;5;a;a;a;a
Pve_B_6;Pve_B;6;indo;11;ma;ma;ma;a
Pve_B_6;Pve_B;6;indo;2;ma;ma;a;a
Pve_B_6;Pve_B;6;indo;5;ma;ma;a;ma
Pve_C_6;Pve_C;6;indo;11;ia;a;a;a
Pve_C_6;Pve_C;6;indo;2;ia;a;a;a
Pve_C_6;Pve_C;6;indo;5;a;a;a;a
Pve_D_6;Pve_D;6;redsea;11;a;a;a;a
Pve_D_6;Pve_D;6;redsea;2;a;a;a;a
Pve_D_6;Pve_D;6;redsea;5;a;a;a;a
Pve_E_6;Pve_E;6;redsea;11;a;a;a;a
Pve_E_6;Pve_E;6;redsea;2;a;a;a;a
Pve_E_6;Pve_E;6;redsea;5;a;a;a;a
Pve_F_6;Pve_F;6;redsea;11;a;a;a;a
Pve_F_6;Pve_F;6;redsea;2;a;a;a;a
Pve_F_6;Pve_F;6;redsea;5;a;a;a;a
Pve_A_11;Pve_A;11;indo;11;a;ma;a;a
Pve_A_11;Pve_A;11;indo;2;ma;a;a;a
Pve_A_11;Pve_A;11;indo;5;a;a;a;a
Pve_B_11;Pve_B;11;indo;11;ma;ma;ma;ma
Pve_B_11;Pve_B;11;indo;2;ia;a;ma;ma
Pve_B_11;Pve_B;11;indo;5;ma;a;a;a
Pve_C_11;Pve_C;11;indo;11;ma;ma;a;ma
Pve_C_11;Pve_C;11;indo;2;a;ma;a;a
Pve_C_11;Pve_C;11;indo;5;a;ia;a;a
Pve_D_11;Pve_D;11;redsea;11;a;a;a;ma
Pve_D_11;Pve_D;11;redsea;2;a;a;a;a
Pve_D_11;Pve_D;11;redsea;5;a;a;a;a
Pve_E_11;Pve_E;11;redsea;11;a;a;ma;ia
Pve_E_11;Pve_E;11;redsea;2;a;a;a;a
Pve_E_11;Pve_E;11;redsea;5;a;a;a;ma
Pve_F_11;Pve_F;11;redsea;11;a;a;a;ia
Pve_F_11;Pve_F;11;redsea;2;a;a;ma;a
Pve_F_11;Pve_F;11;redsea;5;a;a;a;a
Pve_A_2;Pve_A;2;indo;11;ma;a;ma;ma
Pve_A_2;Pve_A;2;indo;2;ma;ma;a;a
Pve_A_2;Pve_A;2;indo;5;a;a;a;a
Pve_B_2;Pve_B;2;indo;11;ma;ma;ma;ma
Pve_B_2;Pve_B;2;indo;2;ma;ma;a;a
Pve_B_2;Pve_B;2;indo;5;a;ma;a;ma
Pve_C_2;Pve_C;2;indo;11;ma;a;a;a
Pve_C_2;Pve_C;2;indo;2;a;ma;a;a
Pve_C_2;Pve_C;2;indo;5;a;a;a;a
Pve_D_2;Pve_D;2;redsea;11;a;a;a;ma
Pve_D_2;Pve_D;2;redsea;2;a;a;a;a
Pve_D_2;Pve_D;2;redsea;5;a;a;a;a
Pve_E_2;Pve_E;2;redsea;11;ia;a;a;ia
Pve_E_2;Pve_E;2;redsea;2;a;ma;a;a
Pve_E_2;Pve_E;2;redsea;5;a;a;a;a
Pve_F_2;Pve_F;2;redsea;11;a;a;a;ma
Pve_F_2;Pve_F;2;redsea;2;a;ma;a;a
Pve_F_2;Pve_F;2;redsea;5;a;a;a;a
Pve_A_7;Pve_A;7;indo;11;a;a;a;a
Pve_A_7;Pve_A;7;indo;2;ma;a;a;a
Pve_A_7;Pve_A;7;indo;5;a;a;a;a
Pve_B_7;Pve_B;7;indo;11;ma;a;a;a
Pve_B_7;Pve_B;7;indo;2;ma;a;a;a
Pve_B_7;Pve_B;7;indo;5;ia;a;a;a
Pve_C_7;Pve_C;7;indo;11;ma;a;a;a
Pve_C_7;Pve_C;7;indo;2;ma;a;a;a
Pve_C_7;Pve_C;7;indo;5;a;a;a;a
Pve_D_7;Pve_D;7;redsea;11;a;a;a;a
Pve_D_7;Pve_D;7;redsea;2;a;a;a;a
Pve_D_7;Pve_D;7;redsea;5;a;a;a;a
Pve_E_7;Pve_E;7;redsea;11;a;a;a;a
Pve_E_7;Pve_E;7;redsea;2;a;a;a;a
Pve_E_7;Pve_E;7;redsea;5;a;a;a;a
Pve_F_7;Pve_F;7;redsea;11;a;ma;a;a
Pve_F_7;Pve_F;7;redsea;2;a;a;a;a
Pve_F_7;Pve_F;7;redsea;5;a;a;a;a
Pve_A_12;Pve_A;12;indo;11;a;a;a;a
Pve_A_12;Pve_A;12;indo;2;a;a;a;a
Pve_A_12;Pve_A;12;indo;5;a;a;a;a
Pve_B_12;Pve_B;12;indo;11;a;a;ma;ma
Pve_B_12;Pve_B;12;indo;2;a;ma;a;ma
Pve_B_12;Pve_B;12;indo;5;a;ma;ma;ma
Pve_C_12;Pve_C;12;indo;11;a;a;ma;a
Pve_C_12;Pve_C;12;indo;2;a;a;a;a
Pve_C_12;Pve_C;12;indo;5;a;a;a;a
Pve_D_12;Pve_D;12;redsea;11;a;a;a;a
Pve_D_12;Pve_D;12;redsea;2;a;a;a;a
Pve_D_12;Pve_D;12;redsea;5;a;a;a;a
Pve_E_12;Pve_E;12;redsea;11;a;a;ia;a
Pve_E_12;Pve_E;12;redsea;2;a;a;a;a
Pve_E_12;Pve_E;12;redsea;5;a;a;a;a
Pve_F_12;Pve_F;12;redsea;11;a;a;ma;a
Pve_F_12;Pve_F;12;redsea;2;a;a;a;a
Pve_F_12;Pve_F;12;redsea;5;a;ma;a;a
Pve_A_3;Pve_A;3;indo;11;ma;a;a;ia
Pve_A_3;Pve_A;3;indo;2;a;ma;a;ma
Pve_A_3;Pve_A;3;indo;5;a;a;a;a
Pve_B_3;Pve_B;3;indo;11;ma;ma;ma;ia
Pve_B_3;Pve_B;3;indo;2;a;a;ma;ia
Pve_B_3;Pve_B;3;indo;5;a;a;a;ma
Pve_C_3;Pve_C;3;indo;11;a;ma;ma;ma
Pve_C_3;Pve_C;3;indo;2;a;a;a;a
Pve_C_3;Pve_C;3;indo;5;a;a;a;a
Pve_D_3;Pve_D;3;redsea;11;a;a;ma;a
Pve_D_3;Pve_D;3;redsea;2;a;a;a;a
Pve_D_3;Pve_D;3;redsea;5;a;a;a;a
Pve_E_3;Pve_E;3;redsea;11;a;ma;ma;ia
Pve_E_3;Pve_E;3;redsea;2;a;a;a;ma
Pve_E_3;Pve_E;3;redsea;5;a;a;a;a
Pve_F_3;Pve_F;3;redsea;11;a;a;a;ma
Pve_F_3;Pve_F;3;redsea;2;a;a;a;a
Pve_F_3;Pve_F;3;redsea;5;a;a;a;ma
Pve_A_8;Pve_A;8;indo;11;ma;ma;ma;a
Pve_A_8;Pve_A;8;indo;2;a;ma;a;a
Pve_A_8;Pve_A;8;indo;5;a;a;ma;a
Pve_B_8;Pve_B;8;indo;11;ma;ia;ma;a
Pve_B_8;Pve_B;8;indo;2;ma;ma;ma;a
Pve_B_8;Pve_B;8;indo;5;ma;ma;ma;a
Pve_C_8;Pve_C;8;indo;11;a;a;ma;a
Pve_C_8;Pve_C;8;indo;2;a;a;a;a
Pve_C_8;Pve_C;8;indo;5;a;a;a;a
Pve_D_8;Pve_D;8;redsea;11;a;a;a;a
Pve_D_8;Pve_D;8;redsea;2;a;a;a;a
Pve_D_8;Pve_D;8;redsea;5;a;a;a;a
Pve_E_8;Pve_E;8;redsea;11;a;a;ma;a
Pve_E_8;Pve_E;8;redsea;2;a;a;ma;a
Pve_E_8;Pve_E;8;redsea;5;a;a;ma;a
Pve_F_8;Pve_F;8;redsea;11;a;ma;ma;a
Pve_F_8;Pve_F;8;redsea;2;a;a;a;a
Pve_F_8;Pve_F;8;redsea;5;a;a;ma;a
Pve_A_13;Pve_A;13;indo;11;a;a;a;ma
Pve_A_13;Pve_A;13;indo;2;a;ma;a;a
Pve_A_13;Pve_A;13;indo;5;a;ma;a;a
Pve_B_13;Pve_B;13;indo;11;ma;a;ma;ma
Pve_B_13;Pve_B;13;indo;2;ma;ma;ma;a
Pve_B_13;Pve_B;13;indo;5;a;ma;a;a
Pve_C_13;Pve_C;13;indo;11;a;ma;a;ma
Pve_C_13;Pve_C;13;indo;2;a;a;a;a
Pve_C_13;Pve_C;13;indo;5;a;a;a;a
Pve_D_13;Pve_D;13;redsea;11;a;ma;a;ma
Pve_D_13;Pve_D;13;redsea;2;a;ma;a;a
Pve_D_13;Pve_D;13;redsea;5;a;a;a;a
Pve_E_13;Pve_E;13;redsea;11;a;a;ma;ma
Pve_E_13;Pve_E;13;redsea;2;a;ma;a;a
Pve_E_13;Pve_E;13;redsea;5;a;a;a;a
Pve_F_13;Pve_F;13;redsea;11;a;ma;a;ia
Pve_F_13;Pve_F;13;redsea;2;ma;ma;ma;a
Pve_F_13;Pve_F;13;redsea;5;a;ma;a;a
Pve_A_4;Pve_A;4;indo;11;a;ma;a;ma
Pve_A_4;Pve_A;4;indo;2;ma;ma;a;ma
Pve_A_4;Pve_A;4;indo;5;a;ma;a;a
Pve_B_4;Pve_B;4;indo;11;a;ma;ma;ma
Pve_B_4;Pve_B;4;indo;2;ma;ma;ma;ma
Pve_B_4;Pve_B;4;indo;5;a;ma;ma;ma
Pve_C_4;Pve_C;4;indo;11;a;ma;a;ma
Pve_C_4;Pve_C;4;indo;2;ma;ma;a;ma
Pve_C_4;Pve_C;4;indo;5;a;ma;a;ma
Pve_D_4;Pve_D;4;redsea;11;a;ma;a;a
Pve_D_4;Pve_D;4;redsea;2;a;a;a;a
Pve_D_4;Pve_D;4;redsea;5;a;a;a;a
Pve_E_4;Pve_E;4;redsea;11;a;ia;a;ia
Pve_E_4;Pve_E;4;redsea;2;a;ma;a;a
Pve_E_4;Pve_E;4;redsea;5;a;ma;a;a
Pve_F_4;Pve_F;4;redsea;11;a;ma;a;ma
Pve_F_4;Pve_F;4;redsea;2;a;ma;ma;a
Pve_F_4;Pve_F;4;redsea;5;a;ma;ma;a
Pve_A_9;Pve_A;9;indo;11;a;a;ma;ma
Pve_A_9;Pve_A;9;indo;2;ma;a;a;a
Pve_A_9;Pve_A;9;indo;5;a;a;a;a
Pve_B_9;Pve_B;9;indo;11;a;ma;ma;ma
Pve_B_9;Pve_B;9;indo;2;ma;a;a;a
Pve_B_9;Pve_B;9;indo;5;ma;a;a;ma
Pve_C_9;Pve_C;9;indo;11;a;a;ma;a
Pve_C_9;Pve_C;9;indo;2;a;ma;a;a
Pve_C_9;Pve_C;9;indo;5;a;a;a;a
Pve_D_9;Pve_D;9;redsea;11;a;a;a;a
Pve_D_9;Pve_D;9;redsea;2;a;a;a;a
Pve_D_9;Pve_D;9;redsea;5;a;a;a;a
Pve_E_9;Pve_E;9;redsea;11;a;a;ia;a
Pve_E_9;Pve_E;9;redsea;2;a;a;a;a
Pve_E_9;Pve_E;9;redsea;5;a;a;a;a
Pve_F_9;Pve_F;9;redsea;11;a;ma;a;a
Pve_F_9;Pve_F;9;redsea;2;a;a;a;a
Pve_F_9;Pve_F;9;redsea;5;a;a;a;ma
Pve_A_14;Pve_A;14;indo;11;ia;a;a;ma
Pve_A_14;Pve_A;14;indo;2;a;ma;a;ma
Pve_A_14;Pve_A;14;indo;5;a;a;a;a
Pve_B_14;Pve_B;14;indo;11;ia;ma;a;ma
Pve_B_14;Pve_B;14;indo;2;ma;ma;a;ma
Pve_B_14;Pve_B;14;indo;5;a;ma;a;a
Pve_C_14;Pve_C;14;indo;11;a;a;a;ma
Pve_C_14;Pve_C;14;indo;2;a;a;a;a
Pve_C_14;Pve_C;14;indo;5;a;a;a;a
Pve_D_14;Pve_D;14;redsea;11;a;a;a;ma
Pve_D_14;Pve_D;14;redsea;2;a;a;a;a
Pve_D_14;Pve_D;14;redsea;5;a;a;a;a
Pve_E_14;Pve_E;14;redsea;11;a;ia;a;ma
Pve_E_14;Pve_E;14;redsea;2;a;ma;a;a
Pve_E_14;Pve_E;14;redsea;5;a;ma;a;a
Pve_F_14;Pve_F;14;redsea;11;ma;ia;ma;ia
Pve_F_14;Pve_F;14;redsea;2;a;ia;a;ma
Pve_F_14;Pve_F;14;redsea;5;a;ia;a;ma
Pve_A_5;Pve_A;5;indo;11;a;ma;ma;ia
Pve_A_5;Pve_A;5;indo;2;ia;ma;ma;ma
Pve_A_5;Pve_A;5;indo;5;a;ma;ma;a
Pve_B_5;Pve_B;5;indo;11;ia;ma;ma;ia
Pve_B_5;Pve_B;5;indo;2;ia;ma;ma;ma
Pve_B_5;Pve_B;5;indo;5;ia;ma;ma;ma
Pve_C_5;Pve_C;5;indo;11;a;ma;ma;ia
Pve_C_5;Pve_C;5;indo;2;ma;ma;a;a
Pve_C_5;Pve_C;5;indo;5;a;a;ma;a
Pve_D_5;Pve_D;5;redsea;11;a;ma;ma;ma
Pve_D_5;Pve_D;5;redsea;2;a;ma;ma;a
Pve_D_5;Pve_D;5;redsea;5;a;ma;ma;a
Pve_E_5;Pve_E;5;redsea;11;a;ma;ma;ia
Pve_E_5;Pve_E;5;redsea;2;a;ma;ia;a
Pve_E_5;Pve_E;5;redsea;5;a;ma;ma;a
Pve_F_5;Pve_F;5;redsea;11;a;ia;ia;ia
Pve_F_5;Pve_F;5;redsea;2;a;ia;ia;ma
Pve_F_5;Pve_F;5;redsea;5;a;ma;ia;ma
Pve_A_10;Pve_A;10;indo;11;ma;a;ma;a
Pve_A_10;Pve_A;10;indo;2;a;a;ma;a
Pve_A_10;Pve_A;10;indo;5;a;a;ma;ma
Pve_B_10;Pve_B;10;indo;11;a;ia;ma;ma
Pve_B_10;Pve_B;10;indo;2;ma;ma;ma;a
Pve_B_10;Pve_B;10;indo;5;a;ma;ma;ma
Pve_C_10;Pve_C;10;indo;11;a;a;ia;ma
Pve_C_10;Pve_C;10;indo;2;a;ma;a;a
Pve_C_10;Pve_C;10;indo;5;a;a;a;a
Pve_D_10;Pve_D;10;redsea;11;a;a;ma;a
Pve_D_10;Pve_D;10;redsea;2;a;a;a;a
Pve_D_10;Pve_D;10;redsea;5;a;a;a;a
Pve_E_10;Pve_E;10;redsea;11;ma;ma;ia;a
Pve_E_10;Pve_E;10;redsea;2;a;ma;a;a
Pve_E_10;Pve_E;10;redsea;5;a;a;ma;a
Pve_F_10;Pve_F;10;redsea;11;a;ma;ia;ia
Pve_F_10;Pve_F;10;redsea;2;a;a;ma;a
Pve_F_10;Pve_F;10;redsea;5;a;a;ma;ma
Pve_A_15;Pve_A;15;indo;11;a;a;ia;a
Pve_A_15;Pve_A;15;indo;2;a;ma;ma;ma
Pve_A_15;Pve_A;15;indo;5;a;ma;ma;ma
Pve_B_15;Pve_B;15;indo;11;a;ma;ia;a
Pve_B_15;Pve_B;15;indo;2;ma;ma;ma;a
Pve_B_15;Pve_B;15;indo;5;a;ma;ia;a
Pve_C_15;Pve_C;15;indo;11;a;ma;ia;a
Pve_C_15;Pve_C;15;indo;2;a;ma;a;a
Pve_C_15;Pve_C;15;indo;5;a;ma;a;a
Pve_D_15;Pve_D;15;redsea;11;a;ia;ma;ma
Pve_D_15;Pve_D;15;redsea;2;a;a;a;a
Pve_D_15;Pve_D;15;redsea;5;a;a;a;a
Pve_E_15;Pve_E;15;redsea;11;a;ma;ia;ma
Pve_E_15;Pve_E;15;redsea;2;a;ia;ma;a
Pve_E_15;Pve_E;15;redsea;5;a;a;ma;a
Pve_F_15;Pve_F;15;redsea;11;ma;ia;ia;ia
Pve_F_15;Pve_F;15;redsea;2;a;ia;ia;a
Pve_F_15;Pve_F;15;redsea;5;a;ma;ma;a
