spec;treat;tp;variable;n;min;max;mean;sd
Pve;control;0;alpha;18;0,390;0,646;0,529;0,072
Pve;control;0;beta;18;0,000;0,006;0,001;0,002
Pve;control;0;Ek;18;307,510;631,919;427,074;99,581
Pve;control;0;rETRmax;18;158,264;328,101;221,775;41,241
Pve;control;1;alpha;18;0,410;0,677;0,571;0,074
Pve;control;1;beta;18;0,000;0,007;0,001;0,002
Pve;control;1;Ek;18;142,915;634,010;373,723;110,250
Pve;control;1;rETRmax;18;58,529;354,886;213,139;60,928
Pve;control;2;alpha;18;0,434;0,668;0,567;0,064
Pve;control;2;beta;18;0,000;0,005;0,001;0,002
Pve;control;2;Ek;18;171,135;496,703;348,017;95,536
Pve;control;2;rETRmax;18;75,555;271,335;198,321;57,934
Pve;control;3;alpha;18;0,425;0,674;0,568;0,064
Pve;control;3;beta;18;0,000;0,006;0,001;0,002
Pve;control;3;Ek;18;193,283;575,057;340,979;104,563
Pve;control;3;rETRmax;18;94,946;304,297;192,532;57,258
Pve;0.1;0;alpha;18;0,390;0,646;0,540;0,070
Pve;0.1;0;beta;18;0,000;0,039;0,003;0,009
Pve;0.1;0;Ek;18;162,753;594,833;371,894;98,834
Pve;0.1;0;rETRmax;18;92,995;284,568;199,337;52,596
Pve;0.1;1;alpha;18;0,432;0,691;0,583;0,071
Pve;0.1;1;beta;18;0,000;0,011;0,002;0,003
Pve;0.1;1;Ek;18;206,999;608,353;371,375;87,366
Pve;0.1;1;rETRmax;18;95,236;336,904;216,263;52,473
Pve;0.1;2;alpha;18;0,464;0,642;0,556;0,053
Pve;0.1;2;beta;18;0,000;0,009;0,003;0,003
Pve;0.1;2;Ek;18;152,015;604,081;321,836;100,593
Pve;0.1;2;rETRmax;18;78,319;335,053;179,541;59,211
Pve;0.1;3;alpha;18;0,471;0,644;0,567;0,054
Pve;0.1;3;beta;18;0,000;0,005;0,001;0,002
Pve;0.1;3;Ek;18;161,301;449,475;299,516;72,471
Pve;0.1;3;rETRmax;18;90,666;237,187;169,299;42,355
Pve;1;0;alpha;18;0,371;0,640;0,547;0,073
Pve;1;0;beta;18;0,000;0,005;0,001;0,002
Pve;1;0;Ek;18;165,085;587,058;400,406;130,266
Pve;1;0;rETRmax;18;79,659;318,355;218,428;70,420
Pve;1;1;alpha;18;0,362;0,668;0,543;0,079
Pve;1;1;beta;18;0,000;0,024;0,005;0,007
Pve;1;1;Ek;18;208,554;630,957;368,915;113,347
Pve;1;1;rETRmax;18;85,789;356,546;199,928;64,729
Pve;1;2;alpha;18;0,467;0,690;0,572;0,063
Pve;1;2;beta;18;0,000;0,007;0,001;0,002
Pve;1;2;Ek;18;123,621;500,686;320,834;92,442
Pve;1;2;rETRmax;18;64,898;273,801;181,974;49,094
Pve;1;3;alpha;18;0,426;0,649;0,556;0,051
Pve;1;3;beta;18;0,000;0,005;0,001;0,002
Pve;1;3;Ek;18;170,370;551,289;333,760;108,487
Pve;1;3;rETRmax;18;98,400;285,456;184,376;57,699
Pve;10;0;alpha;18;0,432;0,672;0,557;0,069
Pve;10;0;beta;18;0,000;0,021;0,003;0,005
Pve;10;0;Ek;18;177,388;557,962;348,703;104,609
Pve;10;0;rETRmax;18;85,982;323,419;195,043;64,950
Pve;10;1;alpha;18;0,487;0,666;0,589;0,053
Pve;10;1;beta;18;0,000;0,006;0,001;0,002
Pve;10;1;Ek;18;114,956;629,046;347,564;128,822
Pve;10;1;rETRmax;18;65,768;365,921;203,674;71,768
Pve;10;2;alpha;18;0,417;0,659;0,559;0,062
Pve;10;2;beta;18;0,000;0,010;0,002;0,003
Pve;10;2;Ek;18;157,210;509,795;322,521;111,066
Pve;10;2;rETRmax;18;83,193;281,142;182,016;68,178
Pve;10;3;alpha;18;0,504;0,696;0,573;0,050
Pve;10;3;beta;18;0,000;0,013;0,002;0,004
Pve;10;3;Ek;18;130,790;472,238;300,455;94,891
Pve;10;3;rETRmax;18;70,023;264,642;171,119;51,253
Pve;100;0;alpha;18;0,372;0,647;0,542;0,067
Pve;100;0;beta;18;0,000;0,016;0,002;0,004
Pve;100;0;Ek;18;231,821;591,715;402,888;104,405
Pve;100;0;rETRmax;18;112,406;313,813;215,618;50,234
Pve;100;1;alpha;18;0,265;0,656;0,563;0,092
Pve;100;1;beta;18;0,000;0,028;0,003;0,007
Pve;100;1;Ek;18;118,607;494,998;318,340;104,666
Pve;100;1;rETRmax;18;31,468;295,735;183,218;66,730
Pve;100;2;alpha;18;0,474;0,672;0,581;0,055
Pve;100;2;beta;18;0,000;0,020;0,003;0,005
Pve;100;2;Ek;18;208,333;630,340;352,304;98,903
Pve;100;2;rETRmax;18;114,194;332,693;203,128;52,517
Pve;100;3;alpha;18;0,468;0,649;0,572;0,051
Pve;100;3;beta;18;0,000;0,005;0,001;0,002
Pve;100;3;Ek;18;166,708;461,437;313,146;91,928
Pve;100;3;rETRmax;18;87,968;251,347;178,152;49,687
Spi;control;0;alpha;18;0,354;0,582;0,486;0,066
Spi;control;0;beta;18;0,000;0,024;0,003;0,006
Spi;control;0;Ek;18;260,814;565,632;359,671;101,936
Spi;control;0;rETRmax;18;98,943;273,766;175,487;57,120
Spi;control;1;alpha;18;0,229;0,607;0,493;0,091
Spi;control;1;beta;18;0,000;0,019;0,003;0,005
Spi;control;1;Ek;18;119,399;506,049;334,509;91,612
Spi;control;1;rETRmax;18;27,297;242,767;167,476;52,877
Spi;control;2;alpha;18;0,408;0,666;0,545;0,071
Spi;control;2;beta;18;0,000;0,006;0,002;0,002
Spi;control;2;Ek;18;198,825;421,849;291,685;52,515
Spi;control;2;rETRmax;18;94,462;220,037;158,783;32,568
Spi;control;3;alpha;18;0,322;0,648;0,524;0,086
Spi;control;3;beta;18;0,000;0,016;0,003;0,004
Spi;control;3;Ek;18;175,280;429,529;305,550;76,860
Spi;control;3;rETRmax;18;73,201;241,317;161,677;52,868
Spi;0.1;0;alpha;18;0,314;0,609;0,471;0,089
Spi;0.1;0;beta;18;0,000;0,021;0,005;0,007
Spi;0.1;0;Ek;18;214,530;508,391;355,542;84,999
Spi;0.1;0;rETRmax;18;106,370;275,691;167,081;52,445
Spi;0.1;1;alpha;18;0,348;0,636;0,535;0,082
Spi;0.1;1;beta;18;0,000;0,015;0,003;0,004
Spi;0.1;1;Ek;18;222,879;529,567;349,502;93,249
Spi;0.1;1;rETRmax;18;88,731;299,339;188,686;62,356
Spi;0.1;2;alpha;18;0,336;0,654;0,559;0,083
Spi;0.1;2;beta;18;0,000;0,007;0,001;0,002
Spi;0.1;2;Ek;18;227,611;524,585;333,304;91,431
Spi;0.1;2;rETRmax;18;80,361;317,308;187,976;61,773
Spi;0.1;3;alpha;18;0,371;0,651;0,511;0,086
Spi;0.1;3;beta;18;0,000;0,015;0,003;0,004
Spi;0.1;3;Ek;18;149,627;397,466;266,515;70,234
Spi;0.1;3;rETRmax;18;66,701;241,351;138,033;49,097
Spi;1;0;alpha;18;0,308;0,604;0,508;0,071
Spi;1;0;beta;18;0,000;0,017;0,004;0,006
Spi;1;0;Ek;18;217,492;542,461;357,654;94,095
Spi;1;0;rETRmax;18;70,740;275,860;182,728;52,450
Spi;1;1;alpha;18;0,503;0,652;0,580;0,045
Spi;1;1;beta;18;0,000;0,015;0,003;0,004
Spi;1;1;Ek;18;261,617;579,207;355,623;86,747
Spi;1;1;rETRmax;18;146,093;302,469;204,682;44,886
Spi;1;2;alpha;18;0,449;0,656;0,555;0,062
Spi;1;2;beta;18;0,000;0,009;0,002;0,003
Spi;1;2;Ek;18;175,508;442,039;302,444;66,650
Spi;1;2;rETRmax;18;98,367;249,704;167,604;40,688
Spi;1;3;alpha;18;0,286;0,641;0,502;0,096
Spi;1;3;beta;18;0,000;0,023;0,003;0,006
Spi;1;3;Ek;18;138,048;403,293;270,301;74,829
Spi;1;3;rETRmax;18;39,461;238,330;138,582;51,328
Spi;10;0;alpha;18;0,350;0,593;0,505;0,065
Spi;10;0;beta;18;0,000;0,020;0,003;0,005
Spi;10;0;Ek;18;205,756;638,805;368,124;102,105
Spi;10;0;rETRmax;18;97,580;346,346;186,316;58,402
Spi;10;1;alpha;18;0,440;0,702;0,568;0,069
Spi;10;1;beta;18;0,000;0,010;0,002;0,003
Spi;10;1;Ek;18;257,167;505,102;356,644;77,658
Spi;10;1;rETRmax;18;129,330;297,292;201,918;47,613
Spi;10;2;alpha;18;0,464;0,686;0,545;0,055
Spi;10;2;beta;18;0,000;0,010;0,002;0,003
Spi;10;2;Ek;18;203,729;450,631;308,044;69,674
Spi;10;2;rETRmax;18;106,232;238,403;167,758;41,284
Spi;10;3;alpha;18;0,419;0,601;0,530;0,053
Spi;10;3;beta;18;0,000;0,011;0,003;0,004
Spi;10;3;Ek;18;190,102;443,280;261,631;69,840
Spi;10;3;rETRmax;18;86,931;244,071;139,493;43,255
Spi;100;0;alpha;18;0,346;0,601;0,500;0,074
Spi;100;0;beta;18;0,000;0,022;0,003;0,006
Spi;100;0;Ek;18;191,867;504,328;332,609;100,156
Spi;100;0;rETRmax;18;91,449;264,676;166,585;56,168
Spi;100;1;alpha;18;0,437;0,695;0,559;0,067
Spi;100;1;beta;18;0,000;0,011;0,003;0,004
Spi;100;1;Ek;18;168,212;515,790;357,879;92,059
Spi;100;1;rETRmax;18;78,407;284,447;200,440;54,674
Spi;100;2;alpha;18;0,399;0,691;0,557;0,082
Spi;100;2;beta;18;0,000;0,015;0,002;0,004
Spi;100;2;Ek;18;223,036;586,925;314,782;83,787
Spi;100;2;rETRmax;18;98,211;308,584;175,132;49,391
Spi;100;3;alpha;18;0,231;0,628;0,505;0,089
Spi;100;3;beta;18;0,000;0,030;0,003;0,007
Spi;100;3;Ek;18;96,189;438,451;282,919;91,319
Spi;100;3;rETRmax;18;22,219;222,115;145,529;50,637
