ID;spec;col;origin;tank;treat;conc;surf_t0;vol_t0;surf_t1;vol_t1;surf_t2;vol_t2;surf_t3;vol_t3;living_t0;living_t1;living_t2;living_t3
Pve_F_12;Pve;F;redsea;12;0.1;0.1;496.698273;425.253143;530.156006;467.386444;639.708008;509.503571;769.629395;607.231384;496.698273;530.156006;639.708008;759.854919
Pve_A_10;Pve;A;indo;10;100;100;1269.347656;2951.676025;1343.388794;3051.50293;1388.293213;3279.67334;1428.608521;3543.404541;1269.347656;1343.388794;1388.293213;1428.608521
Pve_A_14;Pve;A;indo;14;10;10;1224.260498;2795.343994;1272.424927;2937.657227;1335.360229;3162.550049;1442.157104;3400.30835;1224.260498;1272.424927;1335.360229;1442.157104
Pve_A_2;Pve;A;indo;2;0.1;0.1;918.749146;1933.036011;946.542419;1984.125366;977.628906;2015.438965;1016.137451;2145.845215;918.749146;946.542419;977.628906;1016.137451
Pve_A_5;Pve;A;indo;5;100;100;1140.490112;2193.833984;1141.373047;2296.719727;1170.408325;2335.06543;1195.109619;2436.888428;1140.490112;1141.373047;1170.408325;1195.109619
Pve_B_2;Pve;B;indo;2;0.1;0.1;1430.107666;1924.64209;1427.680176;2020.276367;1520.445068;2281.185303;1854.850952;2592.999268;1430.107666;1427.680176;1520.445068;1854.850952
Pve_B_5;Pve;B;indo;5;100;100;993.088562;1502.428345;940.959961;1393.206177;1070.952148;1583.776611;1394.137085;1900.776245;993.088562;940.959961;1070.952148;1394.137085
Pve_D_11;Pve;D;redsea;11;control;0;979.220154;1302.047974;978.348999;1329.14856;978.828491;1385.700073;1031.39978;1408.468994;979.220154;978.348999;978.828491;1031.39978
Pve_D_6;Pve;D;redsea;6;control;0;921.425049;1342.55957;1018.252991;1408.931885;1297.994019;1744.294312;1997.081909;2387.337891;921.425049;1018.252991;1297.994019;1997.081909
Pve_E_11;Pve;E;redsea;11;control;0;1156.333374;1814.72168;1141.751587;1846.599854;1145.18103;1752.641113;1152.873535;1747.536865;1156.333374;1141.751587;1145.18103;924.476013
Pve_E_5;Pve;E;redsea;5;100;100;717.919922;988.949829;759.083679;1112.714111;776.432251;1156.871338;886.648865;1319.144409;717.919922;759.083679;776.432251;886.648865
Pve_E_8;Pve;E;redsea;8;1;1;691.846802;1017.671814;714.795044;1000.038269;886.551819;1346.605225;1162.476563;1588.06897;691.846802;714.795044;886.551819;1162.476563
Pve_F_1;Pve;F;redsea;1;control;0;1244.46936;1214.370361;1501.022827;1313.325195;1654.003174;2068.610107;2246.719238;2642.963623;1244.46936;1501.022827;1654.003174;2246.719238
Pve_F_10;Pve;F;redsea;10;100;100;1019.026978;915.65094;996.262207;907.172729;1002.254028;1017.816895;1109.579346;1037.50647;1005.532349;996.262207;981.379333;1057.220581
Pve_F_2;Pve;F;redsea;2;0.1;0.1;1292.027588;1195.337402;1426.043213;1244.203491;1693.890015;1756.239014;2173.393799;2074.135742;1292.027588;1426.043213;1610.659424;1907.19043
Pve_F_5;Pve;F;redsea;5;100;100;936.527649;822.362488;928.783752;851.120972;1050.040161;916.021179;1115.262085;1061.884277;936.527649;928.783752;1050.040161;1115.262085
Pve_F_6;Pve;F;redsea;6;control;0;783.677246;705.210693;810.291931;760.852417;905.962646;831.304016;1103.404785;1094.736694;783.677246;810.291931;905.962646;1103.404785
Pve_F_9;Pve;F;redsea;9;10;10;0;0;714.425537;560.349609;851.404236;815.747253;1003.88092;840.087463;0;714.425537;851.404236;1003.88092
Spi_B_11;Spi;B;indo;11;control;0;852.868896;1277.132202;873.18573;1238.485352;941.230469;1251.254517;897.80957;1271.109375;852.868896;671.491455;529.442322;492.827698
Spi_B_15;Spi;B;indo;15;100;100;508.148987;679.853577;521.992615;648.08313;540.760986;709.346863;590.05365;813.547729;508.148987;521.992615;540.760986;584.379517
Spi_B_2;Spi;B;indo;2;0.1;0.1;784.888;1091.036133;802.721436;1145.300049;859.41217;1255.977539;961.606628;1405.818359;784.888;802.721436;859.41217;961.606628
Spi_D_1;Spi;D;redsea;1;control;0;985.681213;1317.404541;1038.96582;1401.429932;1060.095703;1456.982544;1000.361328;1403.865479;985.681213;1038.96582;1060.095703;1000.361328
Spi_D_10;Spi;D;redsea;10;100;100;704.359619;883.135254;742.645142;917.829163;729.653137;872.833496;726.479614;892.374817;704.359619;555.055908;354.093323;192.139343
Spi_D_11;Spi;D;redsea;11;control;0;1318.822388;1878.016357;0;0;1289.738159;1885.499878;1317.678955;1929.977905;1318.822388;0;1289.738159;1317.678955
Spi_D_12;Spi;D;redsea;12;0.1;0.1;1382.227783;1874.055054;1412.254883;2006.645874;1434.082275;2032.406616;1466.479858;2154.499756;1382.227783;1412.254883;1434.082275;1466.479858
Spi_D_15;Spi;D;redsea;15;100;100;2699.616699;3873.560303;2577.156006;3673.776123;2472.084717;4054.677246;2605.859375;3828.356201;2699.616699;2039.969849;1655.269531;1548.984741
Spi_D_3;Spi;D;redsea;3;1;1;1176.065674;1583.817383;1207.871094;1643.672852;1205.424316;1681.078735;1219.919067;1640.282715;1176.065674;1207.871094;748.139343;477.187134
Spi_D_4;Spi;D;redsea;4;10;10;581.532837;693.922852;591.260437;712.359253;597.855835;770.92981;606.300842;795.459351;581.532837;465.093506;497.741333;556.259521
Spi_D_5;Spi;D;redsea;5;100;100;983.828186;1257.590698;979.349548;1271.774048;968.95874;1296.425171;979.069519;1277.523193;983.828186;780.23291;673.694397;579.231873
Spi_D_7;Spi;D;redsea;7;0.1;0.1;544.056946;700.748047;557.361023;706.742798;548.168152;673.102112;551.641357;697.955078;519.43689;557.361023;295.066223;195.761856
Spi_D_8;Spi;D;redsea;8;1;1;1104.916382;1388.404907;1163.334106;1557.379395;1224.161499;1676.774902;1245.630371;1726.645264;1104.916382;1163.334106;1224.161499;1245.630371
Spi_D_9;Spi;D;redsea;9;10;10;1205.488403;1529.106567;1259.650757;1654.960083;1254.949585;1750.430298;1344.829346;1914.206299;1205.488403;1259.650757;1230.079224;1332.176636
Spi_E_10;Spi;E;redsea;10;100;100;994.688293;1510.122437;1037.069946;1539.518433;1106.471069;1665.322021;1178.912964;1759.899658;994.688293;1037.069946;1084.710938;1151.313843
Spi_E_5;Spi;E;redsea;5;100;100;720.564392;943.925415;746.252747;955.073669;816.431519;1069.996338;891.655151;1233.706787;720.564392;746.252747;816.431519;864.659668
Spi_F_3;Spi;F;redsea;3;1;1;0;0;779.597473;863.349182;826.933105;924.004761;966.574646;1120.557251;0;779.597473;826.933105;966.574646
Spi_F_5;Spi;F;redsea;5;100;100;940.846558;1158.340332;971.751099;1191.370605;1030.19751;1421.528931;1098.989624;1474.888916;940.846558;971.751099;1030.19751;1098.989624
Spi_F_6;Spi;F;redsea;6;control;0;1293.369507;1596.564331;1309.731201;1673.637573;0;0;1769.363525;2024.215576;1293.369507;1309.731201;0;1769.363525
